Configuracion,Ciclo,Tiempo Total (s),Tokens Entrada,Tokens Salida,Temperature,Top_P,Repeat_Penalty
Config_2_Balanceada,48,7.393845081329346,55,60,0.7,0.9,1.2
Config_2_Balanceada,49,7.1264729499816895,55,60,0.7,0.9,1.2
Config_2_Balanceada,50,6.844621658325195,55,60,0.7,0.9,1.2
Config_2_Balanceada,51,6.967047691345215,55,60,0.7,0.9,1.2
Config_2_Balanceada,52,7.084408760070801,55,60,0.7,0.9,1.2
Config_2_Balanceada,53,6.876688718795776,55,60,0.7,0.9,1.2
Config_2_Balanceada,54,7.0702080726623535,55,60,0.7,0.9,1.2
Config_2_Balanceada,55,7.0809166431427,55,60,0.7,0.9,1.2
Config_2_Balanceada,56,6.8340513706207275,55,60,0.7,0.9,1.2
Config_2_Balanceada,57,7.051179885864258,55,60,0.7,0.9,1.2
Config_2_Balanceada,58,7.26901388168335,55,60,0.7,0.9,1.2
Config_2_Balanceada,59,7.030872106552124,55,60,0.7,0.9,1.2
Config_2_Balanceada,60,7.213243007659912,55,60,0.7,0.9,1.2
Config_2_Balanceada,61,6.913264989852905,55,60,0.7,0.9,1.2
Config_2_Balanceada,62,7.0910797119140625,55,60,0.7,0.9,1.2
Config_2_Balanceada,63,7.0386834144592285,55,60,0.7,0.9,1.2
Config_2_Balanceada,64,7.134281873703003,55,60,0.7,0.9,1.2
Config_2_Balanceada,65,7.15664267539978,55,60,0.7,0.9,1.2
Config_2_Balanceada,66,7.082952499389648,55,60,0.7,0.9,1.2
Config_2_Balanceada,67,7.030200242996216,55,60,0.7,0.9,1.2
Config_2_Balanceada,68,7.083664894104004,55,60,0.7,0.9,1.2
Config_2_Balanceada,69,7.400984525680542,55,60,0.7,0.9,1.2
Config_2_Balanceada,70,6.941238641738892,55,60,0.7,0.9,1.2
Config_2_Balanceada,71,7.067725658416748,55,60,0.7,0.9,1.2
Config_2_Balanceada,72,6.83138108253479,55,60,0.7,0.9,1.2
Config_2_Balanceada,73,6.874495506286621,55,60,0.7,0.9,1.2
Config_2_Balanceada,74,7.221641540527344,55,60,0.7,0.9,1.2
Config_2_Balanceada,75,6.991685152053833,55,60,0.7,0.9,1.2
Config_2_Balanceada,76,7.019111394882202,55,60,0.7,0.9,1.2
Config_2_Balanceada,77,7.092886686325073,55,60,0.7,0.9,1.2
Config_2_Balanceada,78,7.368415355682373,55,60,0.7,0.9,1.2
Config_2_Balanceada,79,7.118239402770996,55,60,0.7,0.9,1.2
Config_2_Balanceada,80,7.252056360244751,55,60,0.7,0.9,1.2
Config_2_Balanceada,81,7.061410903930664,55,60,0.7,0.9,1.2
Config_2_Balanceada,82,7.262697219848633,55,60,0.7,0.9,1.2
Config_2_Balanceada,83,7.092122554779053,55,60,0.7,0.9,1.2
Config_2_Balanceada,84,6.865430593490601,55,60,0.7,0.9,1.2
Config_2_Balanceada,85,7.029568195343018,55,60,0.7,0.9,1.2
Config_2_Balanceada,86,7.291238069534302,55,60,0.7,0.9,1.2
Config_2_Balanceada,87,7.129309177398682,55,60,0.7,0.9,1.2
Config_2_Balanceada,88,7.35272479057312,55,60,0.7,0.9,1.2
Config_2_Balanceada,89,7.144207715988159,55,60,0.7,0.9,1.2
Config_2_Balanceada,90,7.029007196426392,55,60,0.7,0.9,1.2
Config_2_Balanceada,91,7.0059990882873535,55,60,0.7,0.9,1.2
Config_2_Balanceada,92,7.063631534576416,55,60,0.7,0.9,1.2
Config_2_Balanceada,93,7.1072657108306885,55,60,0.7,0.9,1.2
Config_2_Balanceada,94,6.926043272018433,55,60,0.7,0.9,1.2
Config_2_Balanceada,95,7.004271030426025,55,60,0.7,0.9,1.2
Config_2_Balanceada,96,7.094310522079468,55,60,0.7,0.9,1.2
Config_2_Balanceada,97,7.243448972702026,55,60,0.7,0.9,1.2
Config_2_Balanceada,98,6.716688632965088,55,60,0.7,0.9,1.2
Config_2_Balanceada,99,7.299097537994385,55,60,0.7,0.9,1.2
Config_2_Balanceada,100,6.914864778518677,55,60,0.7,0.9,1.2
Config_3_Creativa,1,6.800780773162842,55,60,1.1,0.95,1.4
Config_3_Creativa,2,7.236532211303711,55,60,1.1,0.95,1.4
Config_3_Creativa,3,7.103521823883057,55,60,1.1,0.95,1.4
Config_3_Creativa,4,6.784956932067871,55,60,1.1,0.95,1.4
Config_3_Creativa,5,7.246758699417114,55,60,1.1,0.95,1.4
Config_3_Creativa,6,7.095978021621704,55,60,1.1,0.95,1.4
Config_3_Creativa,7,6.83771824836731,55,60,1.1,0.95,1.4
Config_3_Creativa,8,7.103497743606567,55,60,1.1,0.95,1.4
Config_3_Creativa,9,7.1925787925720215,55,60,1.1,0.95,1.4
Config_3_Creativa,10,6.889082431793213,55,60,1.1,0.95,1.4
