timestamp_unix,timestamp_iso,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,quat_w,quat_x,quat_y,quat_z,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,yaw_speed,body_height,mode,gait_type,obstacle_0,obstacle_1,obstacle_2,obstacle_3,battery_soc,battery_current_ma,power_v,power_a
1780536849.3450873,2026-06-03T19:34:09.345093,-1.841976,-3.406203,0.307958,-0.003234,-0.000552,-0.023722,-0.014115,0.045721,1.605598,0.694381,-0.021343,0.010804,0.71921,0.003196,-0.012783,0.001065,-0.679953,0.07422,9.488221,0.001065,0.320514,0,0,0,0,0,0,60,-1780,29.242949,
1780536849.4946973,2026-06-03T19:34:09.494698,-1.841935,-3.406212,0.307971,0.003004,0.001159,-0.023691,-0.014003,0.045727,1.605517,0.694411,-0.021306,0.010847,0.719181,-0.009587,0.014914,-0.021305,-0.654814,0.009577,9.489418,-0.021305,0.320518,0,0,0,0,0,0,60,-1780,29.242949,
1780536849.5947707,2026-06-03T19:34:09.594772,-1.841906,-3.406161,0.307977,0.012048,-0.003701,-0.02305,-0.013876,0.045835,1.605386,0.694459,-0.0213,0.010932,0.719134,0.004261,0.037284,-0.017044,-0.729034,0.061052,9.455899,-0.017044,0.320517,0,0,0,0,0,0,60,-1780,29.242949,
1780536849.744651,2026-06-03T19:34:09.744652,-1.841915,-3.406213,0.307964,-0.002363,0.012389,-0.024043,-0.013866,0.045635,1.605404,0.694455,-0.021225,0.010866,0.719141,-0.023436,-0.001065,-0.021305,-0.699107,0.046687,9.440337,-0.021305,0.320512,0,0,0,0,0,0,60,-1780,29.242949,
1780536849.895505,2026-06-03T19:34:09.895506,-1.841831,-3.406188,0.307972,-0.001566,0.003944,-0.023883,-0.013703,0.04569,1.605451,0.694439,-0.021188,0.010943,0.719157,-0.012783,-0.012783,-0.018109,-0.727837,0.162806,9.524135,-0.018109,0.320519,0,0,0,0,0,0,60,-1780,29.242949,
1780536850.0444956,2026-06-03T19:34:10.044496,-1.841891,-3.406235,0.30794,-0.014946,0.003709,-0.025092,-0.013782,0.045537,1.605167,0.694542,-0.021159,0.010865,0.719059,-0.013848,0.007457,-0.011718,-0.758962,0.087388,9.506178,-0.011718,0.320517,0,0,0,0,0,0,60,-1737,29.251804,
1780536850.1504598,2026-06-03T19:34:10.150461,-1.841857,-3.406221,0.307967,0.013763,0.009324,-0.02338,-0.013771,0.045639,1.605338,0.694479,-0.021193,0.010902,0.719118,-0.004261,0.008522,-0.003196,-0.672771,0.160412,9.485827,-0.003196,0.32052,0,0,0,0,0,0,60,-1737,29.251804,
1780536850.2948089,2026-06-03T19:34:10.294810,-1.84191,-3.406184,0.307969,0.011646,-0.001527,-0.022654,-0.013865,0.045654,1.605153,0.694545,-0.02123,0.010876,0.719054,-0.002131,0.013848,-0.001065,-0.721852,0.159214,9.55047,-0.001065,0.320522,0,0,0,0,0,0,60,-1737,29.251804,
1780536850.444756,2026-06-03T19:34:10.444757,-1.841901,-3.406206,0.307954,-0.00623,0.010097,-0.024474,-0.013757,0.04566,1.605286,0.694498,-0.021195,0.010915,0.7191,-0.006392,-0.006392,-0.011718,-0.719458,0.035913,9.49301,-0.011718,0.320517,0,0,0,0,0,0,60,-1737,29.251804,
1780536850.5459812,2026-06-03T19:34:10.545982,-1.841846,-3.406109,0.308006,0.010632,0.007583,-0.022632,-0.013646,0.045962,1.60525,0.694509,-0.021265,0.011061,0.719085,-0.018109,0.029827,-0.010653,-0.65242,0.129287,9.524135,-0.010653,0.320519,0,0,0,0,0,0,60,-1737,29.251804,
1780536850.6950247,2026-06-03T19:34:10.695029,-1.841908,-3.406163,0.307968,-0.012119,0.004282,-0.02501,-0.013688,0.045731,1.605163,0.694542,-0.021196,0.010966,0.719056,-0.005326,-0.015979,-0.014914,-0.705092,-0.003591,9.485827,-0.014914,0.320518,0,0,0,0,0,0,60,-1737,29.251804,
1780536850.8448498,2026-06-03T19:34:10.844852,-1.841856,-3.406158,0.307964,0.001175,0.011835,-0.024335,-0.013607,0.045724,1.605367,0.69447,-0.021167,0.010991,0.719127,-0.005326,0.011718,0.006392,-0.64404,0.061052,9.466674,0.006392,0.320523,0,0,0,0,0,0,60,-1737,29.251804,
1780536850.9951122,2026-06-03T19:34:10.995113,-1.841815,-3.406187,0.307962,0.006783,0.007001,-0.024288,-0.013595,0.045731,1.605222,0.694522,-0.021164,0.010999,0.719076,-0.004261,0,-0.008522,-0.724246,0.162806,9.485827,-0.008522,0.320513,0,0,0,0,0,0,60,-1764,29.242949,
1780536851.1446168,2026-06-03T19:34:11.144618,-1.841929,-3.406134,0.30796,0.005759,-0.001963,-0.024426,-0.01384,0.045809,1.605295,0.694492,-0.021278,0.010937,0.719102,-0.011718,0.004261,-0.017044,-0.738611,0.027533,9.478644,-0.017044,0.320515,0,0,0,0,0,0,60,-1764,29.242949,
1780536851.2948976,2026-06-03T19:34:11.294899,-1.841857,-3.406168,0.307967,0.01501,0.009102,-0.022942,-0.013679,0.045714,1.605547,0.694404,-0.021189,0.010959,0.71919,-0.02024,0.037284,-0.005326,-0.7434,0.147243,9.520543,-0.005326,0.32052,0,0,0,0,0,0,60,-1764,29.242949,
1780536851.4443007,2026-06-03T19:34:11.444302,-1.84189,-3.406153,0.30796,0.006052,0.010434,-0.024335,-0.013737,0.045827,1.605292,0.694494,-0.021248,0.01098,0.719101,-0.012783,0.003196,0.001065,-0.694318,0.178368,9.454702,0.001065,0.320518,0,0,0,0,0,0,60,-1764,29.242949,
1780536851.5447638,2026-06-03T19:34:11.544768,-1.841909,-3.406158,0.307959,0.001566,0.003125,-0.024278,-0.013747,0.045739,1.60546,0.694435,-0.021221,0.010944,0.71916,-0.004261,0.010653,-0.004261,-0.720655,0.029928,9.479841,-0.004261,0.320522,0,0,0,0,0,0,60,-1764,29.242949,
1780536851.64495,2026-06-03T19:34:11.644953,-1.8419,-3.406186,0.307951,0.008116,-0.004168,-0.024336,-0.013748,0.045642,1.605303,0.694492,-0.021186,0.010912,0.719106,-0.007457,0.005326,-0.012783,-0.640449,0.104148,9.428367,-0.012783,0.32052,0,0,0,0,0,0,60,-1764,29.242949,
1780536851.794453,2026-06-03T19:34:11.794456,-1.841937,-3.406287,0.307943,0.006928,0.010868,-0.023802,-0.013877,0.045418,1.605481,0.694429,-0.021151,0.010786,0.719169,-0.022371,0.037284,-0.009587,-0.670376,0.047884,9.509769,-0.009587,0.320514,0,0,0,0,0,0,60,-1764,29.242949,
1780536851.8946588,2026-06-03T19:34:11.894660,-1.841895,-3.406267,0.307932,0.003447,0.001614,-0.024584,-0.01379,0.045382,1.605342,0.69448,-0.021107,0.010806,0.719121,-0.019175,-0.012783,-0.005326,-0.727837,0.132878,9.481039,-0.005326,0.320519,0,0,0,0,0,0,60,-1764,29.242949,
1780536852.045108,2026-06-03T19:34:12.045110,-1.841947,-3.406255,0.307925,0.007762,0.001109,-0.025111,-0.01394,0.045521,1.605535,0.694408,-0.02121,0.010799,0.719188,-0.003196,0.022371,0.001065,-0.693121,-0.019154,9.5385,0.001065,0.320518,0,0,0,0,0,0,60,-1731,29.242949,
1780536852.19447,2026-06-03T19:34:12.194471,-1.841913,-3.406202,0.307945,0.00358,0.006431,-0.024363,-0.013831,0.045677,1.605414,0.694451,-0.021228,0.010893,0.719144,-0.008522,0.005326,-0.006392,-0.670376,0.147243,9.504981,-0.006392,0.320516,0,0,0,0,0,0,60,-1731,29.242949,
1780536852.2955463,2026-06-03T19:34:12.295547,-1.842014,-3.406177,0.307947,0.006104,0.011601,-0.023745,-0.014057,0.045754,1.605248,0.694508,-0.021333,0.01084,0.719087,-0.02024,0.02024,-0.012783,-0.664391,0.007183,9.563639,-0.012783,0.320511,0,0,0,0,0,0,60,-1731,29.242949,
1780536852.3960078,2026-06-03T19:34:12.396009,-1.841922,-3.406151,0.307949,0.007972,0.001456,-0.023867,-0.0139,0.045753,1.605411,0.69445,-0.021279,0.010894,0.719144,-0.010653,-0.012783,0.001065,-0.714669,0.199916,9.51336,0.001065,0.32052,0,0,0,0,0,0,60,-1731,29.242949,
1780536852.4990547,2026-06-03T19:34:12.499055,-1.842008,-3.406246,0.307961,-0.005047,0.006278,-0.024369,-0.014024,0.045567,1.605388,0.694459,-0.021255,0.010786,0.719137,0.008522,-0.015979,-0.014914,-0.708684,0.039504,9.39365,-0.014914,0.320517,0,0,0,0,0,0,60,-1731,29.242949,
1780536852.6445518,2026-06-03T19:34:12.644553,-1.841941,-3.406205,0.307939,0.013022,0.002917,-0.024102,-0.013948,0.045618,1.605276,0.6945,-0.021246,0.010832,0.719098,-0.004261,0.02024,-0.012783,-0.705092,0.148441,9.436746,-0.012783,0.32052,0,0,0,0,0,0,60,-1731,29.242949,
1780536852.7449656,2026-06-03T19:34:12.744968,-1.841988,-3.406229,0.307946,0.008283,-0.010992,-0.023497,-0.013976,0.045528,1.605124,0.694555,-0.021223,0.010792,0.719046,-0.002131,-0.006392,-0.015979,-0.700304,-0.015562,9.506178,-0.015979,0.320519,0,0,0,0,0,0,60,-1731,29.242949,
1780536852.895024,2026-06-03T19:34:12.895026,-1.841904,-3.406195,0.307963,0.004936,0.016015,-0.023607,-0.013781,0.045684,1.605241,0.694514,-0.021212,0.010915,0.719084,-0.019175,0.004261,-0.011718,-0.702698,0.120907,9.477448,-0.011718,0.320517,0,0,0,0,0,0,60,-1731,29.242949,
1780536853.0460813,2026-06-03T19:34:13.046082,-1.841946,-3.406186,0.307959,0.00399,0.001673,-0.023595,-0.013847,0.045648,1.604955,0.694616,-0.021221,0.010882,0.718985,-0.003196,0,-0.006392,-0.73502,0.104148,9.475053,-0.006392,0.320513,0,0,0,0,0,0,60,-1714,29.242949,
1780536853.194391,2026-06-03T19:34:13.194392,-1.841974,-3.40619,0.307965,-0.003706,-0.001839,-0.024407,-0.013855,0.045738,1.604996,0.6946,-0.021256,0.01091,0.718999,-0.008522,0.011718,-0.008522,-0.65242,0.03711,9.458294,-0.008522,0.320514,0,0,0,0,0,0,60,-1714,29.242949,
1780536853.2960289,2026-06-03T19:34:13.296030,-1.841906,-3.406128,0.307968,0.002091,0.011133,-0.023789,-0.013678,0.045796,1.604928,0.694626,-0.021215,0.010995,0.718974,-0.007457,0.002131,-0.002131,-0.72664,0.102951,9.507375,-0.002131,0.320515,0,0,0,0,0,0,60,-1714,29.242949,
1780536853.4446356,2026-06-03T19:34:13.444637,-1.841978,-3.406132,0.307981,0.006408,0.015746,-0.023229,-0.013808,0.045807,1.604871,0.694645,-0.021264,0.010952,0.718955,-0.014914,-0.005326,-0.011718,-0.72664,0.025139,9.519346,-0.011718,0.320517,0,0,0,0,0,0,60,-1714,29.242949,
1780536853.5446908,2026-06-03T19:34:13.544695,-1.841864,-3.406155,0.307979,0.007087,0.007358,-0.023925,-0.013591,0.045765,1.60498,0.694609,-0.021174,0.011014,0.718992,-0.019175,-0.003196,-0.001065,-0.711078,0.195127,9.464279,-0.001065,0.320515,0,0,0,0,0,0,60,-1714,29.242949,
